
=========================== Device: cuda:2, NVIDIA GeForce RTX 3090 ===========================

=========================== Random Seed: 777 ===========================

=========================== Training ===========================
[2023/04/03 12:32:39] 	 epoch : 001/300 	 Epoch loss:1593.357227 	 Accuracy: 0.0275
[2023/04/03 12:33:13] 	 ##### Accuracy on validation set: 0.3122 #####
[2023/04/03 12:33:13] 	 ##### Best accuracy so far: 0.0000  =>  saving model... #####
[2023/04/03 12:36:54] 	 epoch : 002/300 	 Epoch loss:1553.224401 	 Accuracy: 0.0538
[2023/04/03 12:40:39] 	 epoch : 003/300 	 Epoch loss:1530.631153 	 Accuracy: 0.0728
[2023/04/03 12:44:24] 	 epoch : 004/300 	 Epoch loss:1505.441784 	 Accuracy: 0.0844
[2023/04/03 12:48:09] 	 epoch : 005/300 	 Epoch loss:1482.130859 	 Accuracy: 0.0972
[2023/04/03 12:51:55] 	 epoch : 006/300 	 Epoch loss:1458.833117 	 Accuracy: 0.1028
[2023/04/03 12:55:40] 	 epoch : 007/300 	 Epoch loss:1436.751626 	 Accuracy: 0.1075
[2023/04/03 12:59:26] 	 epoch : 008/300 	 Epoch loss:1416.804523 	 Accuracy: 0.1142
[2023/04/03 13:03:11] 	 epoch : 009/300 	 Epoch loss:1399.469526 	 Accuracy: 0.1209
[2023/04/03 13:06:57] 	 epoch : 010/300 	 Epoch loss:1385.051894 	 Accuracy: 0.1244
[2023/04/03 13:07:36] 	 ##### Accuracy on validation set: 0.3733 #####
[2023/04/03 13:07:36] 	 ##### Best accuracy so far: 0.3122  =>  saving model... #####
[2023/04/03 13:11:18] 	 epoch : 011/300 	 Epoch loss:1372.394221 	 Accuracy: 0.1293
[2023/04/03 13:15:03] 	 epoch : 012/300 	 Epoch loss:1360.829189 	 Accuracy: 0.1341
[2023/04/03 13:18:49] 	 epoch : 013/300 	 Epoch loss:1350.749588 	 Accuracy: 0.1382
[2023/04/03 13:22:35] 	 epoch : 014/300 	 Epoch loss:1340.777323 	 Accuracy: 0.1434
[2023/04/03 13:26:20] 	 epoch : 015/300 	 Epoch loss:1332.057135 	 Accuracy: 0.1463
[2023/04/03 13:30:05] 	 epoch : 016/300 	 Epoch loss:1323.275608 	 Accuracy: 0.1495
[2023/04/03 13:33:51] 	 epoch : 017/300 	 Epoch loss:1315.120558 	 Accuracy: 0.1517
[2023/04/03 13:37:36] 	 epoch : 018/300 	 Epoch loss:1307.716609 	 Accuracy: 0.1567
[2023/04/03 13:41:22] 	 epoch : 019/300 	 Epoch loss:1299.421042 	 Accuracy: 0.1615
[2023/04/03 13:45:08] 	 epoch : 020/300 	 Epoch loss:1292.619113 	 Accuracy: 0.1643
[2023/04/03 13:45:47] 	 ##### Accuracy on validation set: 0.4047 #####
[2023/04/03 13:45:47] 	 ##### Best accuracy so far: 0.3733  =>  saving model... #####
[2023/04/03 13:49:29] 	 epoch : 021/300 	 Epoch loss:1284.615981 	 Accuracy: 0.1687
[2023/04/03 13:53:14] 	 epoch : 022/300 	 Epoch loss:1277.818734 	 Accuracy: 0.1715
[2023/04/03 13:56:59] 	 epoch : 023/300 	 Epoch loss:1269.672196 	 Accuracy: 0.1775
[2023/04/03 14:00:45] 	 epoch : 024/300 	 Epoch loss:1261.535027 	 Accuracy: 0.1795
[2023/04/03 14:04:31] 	 epoch : 025/300 	 Epoch loss:1253.484559 	 Accuracy: 0.1846
[2023/04/03 14:08:16] 	 epoch : 026/300 	 Epoch loss:1245.544522 	 Accuracy: 0.1897
[2023/04/03 14:12:02] 	 epoch : 027/300 	 Epoch loss:1238.243429 	 Accuracy: 0.1920
[2023/04/03 14:15:47] 	 epoch : 028/300 	 Epoch loss:1229.227240 	 Accuracy: 0.1984
[2023/04/03 14:19:33] 	 epoch : 029/300 	 Epoch loss:1222.575657 	 Accuracy: 0.2031
[2023/04/03 14:23:19] 	 epoch : 030/300 	 Epoch loss:1212.819110 	 Accuracy: 0.2067
[2023/04/03 14:23:58] 	 ##### Accuracy on validation set: 0.4344 #####
[2023/04/03 14:23:58] 	 ##### Best accuracy so far: 0.4047  =>  saving model... #####
[2023/04/03 14:27:39] 	 epoch : 031/300 	 Epoch loss:1205.485405 	 Accuracy: 0.2102
[2023/04/03 14:31:25] 	 epoch : 032/300 	 Epoch loss:1196.707917 	 Accuracy: 0.2135
[2023/04/03 14:35:10] 	 epoch : 033/300 	 Epoch loss:1188.320237 	 Accuracy: 0.2204
[2023/04/03 14:38:56] 	 epoch : 034/300 	 Epoch loss:1179.051563 	 Accuracy: 0.2230
[2023/04/03 14:42:41] 	 epoch : 035/300 	 Epoch loss:1171.567981 	 Accuracy: 0.2265
[2023/04/03 14:46:27] 	 epoch : 036/300 	 Epoch loss:1162.593963 	 Accuracy: 0.2334
[2023/04/03 14:50:12] 	 epoch : 037/300 	 Epoch loss:1155.393739 	 Accuracy: 0.2330
[2023/04/03 14:53:58] 	 epoch : 038/300 	 Epoch loss:1147.343886 	 Accuracy: 0.2418
[2023/04/03 14:57:43] 	 epoch : 039/300 	 Epoch loss:1141.683840 	 Accuracy: 0.2442
[2023/04/03 15:01:29] 	 epoch : 040/300 	 Epoch loss:1133.936794 	 Accuracy: 0.2476
[2023/04/03 15:02:08] 	 ##### Accuracy on validation set: 0.4657 #####
[2023/04/03 15:02:08] 	 ##### Best accuracy so far: 0.4344  =>  saving model... #####
[2023/04/03 15:05:50] 	 epoch : 041/300 	 Epoch loss:1127.057894 	 Accuracy: 0.2495
[2023/04/03 15:09:35] 	 epoch : 042/300 	 Epoch loss:1120.062694 	 Accuracy: 0.2533
[2023/04/03 15:13:21] 	 epoch : 043/300 	 Epoch loss:1113.133169 	 Accuracy: 0.2579
[2023/04/03 15:17:06] 	 epoch : 044/300 	 Epoch loss:1107.347556 	 Accuracy: 0.2597
[2023/04/03 15:20:52] 	 epoch : 045/300 	 Epoch loss:1101.681173 	 Accuracy: 0.2626
[2023/04/03 15:24:38] 	 epoch : 046/300 	 Epoch loss:1095.306328 	 Accuracy: 0.2673
[2023/04/03 15:28:23] 	 epoch : 047/300 	 Epoch loss:1091.045802 	 Accuracy: 0.2676
[2023/04/03 15:32:09] 	 epoch : 048/300 	 Epoch loss:1084.198878 	 Accuracy: 0.2725
[2023/04/03 15:35:54] 	 epoch : 049/300 	 Epoch loss:1080.984148 	 Accuracy: 0.2737
[2023/04/03 15:39:40] 	 epoch : 050/300 	 Epoch loss:1073.437337 	 Accuracy: 0.2768
[2023/04/03 15:40:20] 	 ##### Accuracy on validation set: 0.4910 #####
[2023/04/03 15:40:20] 	 ##### Best accuracy so far: 0.4657  =>  saving model... #####
[2023/04/03 15:44:01] 	 epoch : 051/300 	 Epoch loss:1068.583752 	 Accuracy: 0.2814
[2023/04/03 15:47:46] 	 epoch : 052/300 	 Epoch loss:1065.199248 	 Accuracy: 0.2835
[2023/04/03 15:51:32] 	 epoch : 053/300 	 Epoch loss:1058.436015 	 Accuracy: 0.2889
[2023/04/03 15:55:17] 	 epoch : 054/300 	 Epoch loss:1054.908122 	 Accuracy: 0.2893
[2023/04/03 15:59:03] 	 epoch : 055/300 	 Epoch loss:1048.516345 	 Accuracy: 0.2914
[2023/04/03 16:02:48] 	 epoch : 056/300 	 Epoch loss:1043.566606 	 Accuracy: 0.2961
[2023/04/03 16:06:34] 	 epoch : 057/300 	 Epoch loss:1040.159900 	 Accuracy: 0.2969
[2023/04/03 16:10:19] 	 epoch : 058/300 	 Epoch loss:1033.599903 	 Accuracy: 0.3017
[2023/04/03 16:14:05] 	 epoch : 059/300 	 Epoch loss:1032.120041 	 Accuracy: 0.3027
[2023/04/03 16:17:50] 	 epoch : 060/300 	 Epoch loss:1025.731670 	 Accuracy: 0.3072
[2023/04/03 16:18:30] 	 ##### Accuracy on validation set: 0.4970 #####
[2023/04/03 16:18:30] 	 ##### Best accuracy so far: 0.4910  =>  saving model... #####
[2023/04/03 16:22:11] 	 epoch : 061/300 	 Epoch loss:1023.068894 	 Accuracy: 0.3088
[2023/04/03 16:25:56] 	 epoch : 062/300 	 Epoch loss:1018.334480 	 Accuracy: 0.3128
[2023/04/03 16:29:41] 	 epoch : 063/300 	 Epoch loss:1014.705775 	 Accuracy: 0.3140
[2023/04/03 16:33:27] 	 epoch : 064/300 	 Epoch loss:1010.926952 	 Accuracy: 0.3147
[2023/04/03 16:37:12] 	 epoch : 065/300 	 Epoch loss:1005.447596 	 Accuracy: 0.3209
[2023/04/03 16:40:58] 	 epoch : 066/300 	 Epoch loss:1001.214638 	 Accuracy: 0.3221
[2023/04/03 16:44:44] 	 epoch : 067/300 	 Epoch loss:997.076871 	 Accuracy: 0.3227
[2023/04/03 16:48:29] 	 epoch : 068/300 	 Epoch loss:994.496407 	 Accuracy: 0.3239
[2023/04/03 16:52:15] 	 epoch : 069/300 	 Epoch loss:989.957686 	 Accuracy: 0.3293
[2023/04/03 16:56:00] 	 epoch : 070/300 	 Epoch loss:985.128342 	 Accuracy: 0.3319
[2023/04/03 16:56:40] 	 ##### Accuracy on validation set: 0.5228 #####
[2023/04/03 16:56:40] 	 ##### Best accuracy so far: 0.4970  =>  saving model... #####
[2023/04/03 17:00:21] 	 epoch : 071/300 	 Epoch loss:982.512634 	 Accuracy: 0.3319
[2023/04/03 17:04:06] 	 epoch : 072/300 	 Epoch loss:977.625735 	 Accuracy: 0.3350
[2023/04/03 17:07:51] 	 epoch : 073/300 	 Epoch loss:975.492259 	 Accuracy: 0.3375
[2023/04/03 17:11:37] 	 epoch : 074/300 	 Epoch loss:970.391610 	 Accuracy: 0.3403
[2023/04/03 17:15:23] 	 epoch : 075/300 	 Epoch loss:966.825346 	 Accuracy: 0.3431
[2023/04/03 17:19:08] 	 epoch : 076/300 	 Epoch loss:964.072935 	 Accuracy: 0.3453
[2023/04/03 17:22:54] 	 epoch : 077/300 	 Epoch loss:959.783922 	 Accuracy: 0.3482
[2023/04/03 17:26:39] 	 epoch : 078/300 	 Epoch loss:957.546148 	 Accuracy: 0.3494
[2023/04/03 17:30:25] 	 epoch : 079/300 	 Epoch loss:954.336829 	 Accuracy: 0.3525
[2023/04/03 17:34:10] 	 epoch : 080/300 	 Epoch loss:950.076645 	 Accuracy: 0.3531
[2023/04/03 17:34:50] 	 ##### Accuracy on validation set: 0.5379 #####
[2023/04/03 17:34:50] 	 ##### Best accuracy so far: 0.5228  =>  saving model... #####
[2023/04/03 17:38:30] 	 epoch : 081/300 	 Epoch loss:946.169319 	 Accuracy: 0.3552
[2023/04/03 17:42:16] 	 epoch : 082/300 	 Epoch loss:944.268955 	 Accuracy: 0.3571
[2023/04/03 17:46:01] 	 epoch : 083/300 	 Epoch loss:940.018651 	 Accuracy: 0.3563
[2023/04/03 17:49:46] 	 epoch : 084/300 	 Epoch loss:937.002357 	 Accuracy: 0.3601
[2023/04/03 17:53:32] 	 epoch : 085/300 	 Epoch loss:934.057682 	 Accuracy: 0.3617
[2023/04/03 17:57:17] 	 epoch : 086/300 	 Epoch loss:929.431497 	 Accuracy: 0.3666
[2023/04/03 18:01:03] 	 epoch : 087/300 	 Epoch loss:927.852071 	 Accuracy: 0.3648
[2023/04/03 18:04:48] 	 epoch : 088/300 	 Epoch loss:923.216896 	 Accuracy: 0.3680
[2023/04/03 18:08:34] 	 epoch : 089/300 	 Epoch loss:920.887892 	 Accuracy: 0.3683
[2023/04/03 18:12:19] 	 epoch : 090/300 	 Epoch loss:919.391174 	 Accuracy: 0.3692
[2023/04/03 18:13:00] 	 ##### Accuracy on validation set: 0.5497 #####
[2023/04/03 18:13:00] 	 ##### Best accuracy so far: 0.5379  =>  saving model... #####
[2023/04/03 18:16:40] 	 epoch : 091/300 	 Epoch loss:914.003446 	 Accuracy: 0.3759
[2023/04/03 18:20:25] 	 epoch : 092/300 	 Epoch loss:911.211173 	 Accuracy: 0.3761
[2023/04/03 18:24:10] 	 epoch : 093/300 	 Epoch loss:908.528833 	 Accuracy: 0.3757
[2023/04/03 18:27:56] 	 epoch : 094/300 	 Epoch loss:905.361799 	 Accuracy: 0.3788
[2023/04/03 18:31:41] 	 epoch : 095/300 	 Epoch loss:903.314669 	 Accuracy: 0.3798
[2023/04/03 18:35:27] 	 epoch : 096/300 	 Epoch loss:898.234541 	 Accuracy: 0.3836
[2023/04/03 18:39:12] 	 epoch : 097/300 	 Epoch loss:896.572432 	 Accuracy: 0.3829
[2023/04/03 18:42:57] 	 epoch : 098/300 	 Epoch loss:893.185947 	 Accuracy: 0.3873
[2023/04/03 18:46:43] 	 epoch : 099/300 	 Epoch loss:890.414446 	 Accuracy: 0.3852
[2023/04/03 18:50:29] 	 epoch : 100/300 	 Epoch loss:886.345542 	 Accuracy: 0.3902
[2023/04/03 18:51:10] 	 ##### Accuracy on validation set: 0.5672 #####
[2023/04/03 18:51:10] 	 ##### Best accuracy so far: 0.5497  =>  saving model... #####
[2023/04/03 18:54:49] 	 epoch : 101/300 	 Epoch loss:884.163637 	 Accuracy: 0.3911
[2023/04/03 18:58:34] 	 epoch : 102/300 	 Epoch loss:882.415642 	 Accuracy: 0.3923
[2023/04/03 19:02:20] 	 epoch : 103/300 	 Epoch loss:879.047228 	 Accuracy: 0.3949
[2023/04/03 19:06:05] 	 epoch : 104/300 	 Epoch loss:876.306865 	 Accuracy: 0.3958
[2023/04/03 19:09:51] 	 epoch : 105/300 	 Epoch loss:874.009548 	 Accuracy: 0.3974
[2023/04/03 19:13:36] 	 epoch : 106/300 	 Epoch loss:870.423284 	 Accuracy: 0.4007
[2023/04/03 19:17:22] 	 epoch : 107/300 	 Epoch loss:868.695226 	 Accuracy: 0.4016
[2023/04/03 19:21:07] 	 epoch : 108/300 	 Epoch loss:865.670625 	 Accuracy: 0.4047
[2023/04/03 19:24:52] 	 epoch : 109/300 	 Epoch loss:862.240744 	 Accuracy: 0.4067
[2023/04/03 19:28:38] 	 epoch : 110/300 	 Epoch loss:860.800945 	 Accuracy: 0.4070
[2023/04/03 19:29:19] 	 ##### Accuracy on validation set: 0.5891 #####
[2023/04/03 19:29:19] 	 ##### Best accuracy so far: 0.5672  =>  saving model... #####
[2023/04/03 19:32:58] 	 epoch : 111/300 	 Epoch loss:856.779653 	 Accuracy: 0.4072
[2023/04/03 19:36:43] 	 epoch : 112/300 	 Epoch loss:854.723560 	 Accuracy: 0.4096
[2023/04/03 19:40:29] 	 epoch : 113/300 	 Epoch loss:851.393383 	 Accuracy: 0.4121
[2023/04/03 19:44:14] 	 epoch : 114/300 	 Epoch loss:851.157263 	 Accuracy: 0.4126
[2023/04/03 19:47:59] 	 epoch : 115/300 	 Epoch loss:846.347697 	 Accuracy: 0.4138
[2023/04/03 19:51:45] 	 epoch : 116/300 	 Epoch loss:844.827809 	 Accuracy: 0.4156
[2023/04/03 19:55:30] 	 epoch : 117/300 	 Epoch loss:841.414721 	 Accuracy: 0.4169
[2023/04/03 19:59:15] 	 epoch : 118/300 	 Epoch loss:840.241163 	 Accuracy: 0.4178
[2023/04/03 20:03:01] 	 epoch : 119/300 	 Epoch loss:836.476677 	 Accuracy: 0.4198
[2023/04/03 20:06:46] 	 epoch : 120/300 	 Epoch loss:832.517676 	 Accuracy: 0.4231
[2023/04/03 20:07:28] 	 ##### Accuracy on validation set: 0.5860 #####
[2023/04/03 20:07:28] 	 ##### Best accuracy so far: 0.5891 #####
[2023/04/03 20:11:06] 	 epoch : 121/300 	 Epoch loss:830.689002 	 Accuracy: 0.4230
[2023/04/03 20:14:51] 	 epoch : 122/300 	 Epoch loss:828.245681 	 Accuracy: 0.4254
[2023/04/03 20:18:37] 	 epoch : 123/300 	 Epoch loss:824.854986 	 Accuracy: 0.4281
[2023/04/03 20:22:22] 	 epoch : 124/300 	 Epoch loss:825.018004 	 Accuracy: 0.4285
[2023/04/03 20:26:08] 	 epoch : 125/300 	 Epoch loss:821.021867 	 Accuracy: 0.4314
[2023/04/03 20:29:53] 	 epoch : 126/300 	 Epoch loss:818.412036 	 Accuracy: 0.4329
[2023/04/03 20:33:39] 	 epoch : 127/300 	 Epoch loss:816.416150 	 Accuracy: 0.4334
[2023/04/03 20:37:24] 	 epoch : 128/300 	 Epoch loss:814.227641 	 Accuracy: 0.4324
[2023/04/03 20:41:10] 	 epoch : 129/300 	 Epoch loss:810.184852 	 Accuracy: 0.4368
[2023/04/03 20:44:55] 	 epoch : 130/300 	 Epoch loss:808.656148 	 Accuracy: 0.4354
[2023/04/03 20:45:38] 	 ##### Accuracy on validation set: 0.5860 #####
[2023/04/03 20:45:38] 	 ##### Best accuracy so far: 0.5891 #####
[2023/04/03 20:49:16] 	 epoch : 131/300 	 Epoch loss:806.771530 	 Accuracy: 0.4407
[2023/04/03 20:53:01] 	 epoch : 132/300 	 Epoch loss:805.256097 	 Accuracy: 0.4399
[2023/04/03 20:56:46] 	 epoch : 133/300 	 Epoch loss:802.340335 	 Accuracy: 0.4391
[2023/04/03 21:00:31] 	 epoch : 134/300 	 Epoch loss:799.789250 	 Accuracy: 0.4432
[2023/04/03 21:04:16] 	 epoch : 135/300 	 Epoch loss:796.937079 	 Accuracy: 0.4437
[2023/04/03 21:08:01] 	 epoch : 136/300 	 Epoch loss:795.469340 	 Accuracy: 0.4452
[2023/04/03 21:11:46] 	 epoch : 137/300 	 Epoch loss:792.145124 	 Accuracy: 0.4482
[2023/04/03 21:15:32] 	 epoch : 138/300 	 Epoch loss:788.332488 	 Accuracy: 0.4485
[2023/04/03 21:19:17] 	 epoch : 139/300 	 Epoch loss:788.666780 	 Accuracy: 0.4482
[2023/04/03 21:23:02] 	 epoch : 140/300 	 Epoch loss:786.810335 	 Accuracy: 0.4484
[2023/04/03 21:23:45] 	 ##### Accuracy on validation set: 0.5983 #####
[2023/04/03 21:23:45] 	 ##### Best accuracy so far: 0.5891  =>  saving model... #####
[2023/04/03 21:27:22] 	 epoch : 141/300 	 Epoch loss:783.919117 	 Accuracy: 0.4532
[2023/04/03 21:31:07] 	 epoch : 142/300 	 Epoch loss:780.383463 	 Accuracy: 0.4537
[2023/04/03 21:34:53] 	 epoch : 143/300 	 Epoch loss:778.260156 	 Accuracy: 0.4554
[2023/04/03 21:38:38] 	 epoch : 144/300 	 Epoch loss:777.367208 	 Accuracy: 0.4559
[2023/04/03 21:42:23] 	 epoch : 145/300 	 Epoch loss:773.164125 	 Accuracy: 0.4595
[2023/04/03 21:46:09] 	 epoch : 146/300 	 Epoch loss:772.591564 	 Accuracy: 0.4596
[2023/04/03 21:49:54] 	 epoch : 147/300 	 Epoch loss:769.082400 	 Accuracy: 0.4609
[2023/04/03 21:53:40] 	 epoch : 148/300 	 Epoch loss:768.360441 	 Accuracy: 0.4619
[2023/04/03 21:57:25] 	 epoch : 149/300 	 Epoch loss:763.893749 	 Accuracy: 0.4641
[2023/04/03 22:01:11] 	 epoch : 150/300 	 Epoch loss:764.094381 	 Accuracy: 0.4624
[2023/04/03 22:01:53] 	 ##### Accuracy on validation set: 0.6105 #####
[2023/04/03 22:01:53] 	 ##### Best accuracy so far: 0.5983  =>  saving model... #####
[2023/04/03 22:05:31] 	 epoch : 151/300 	 Epoch loss:761.846428 	 Accuracy: 0.4672
[2023/04/03 22:09:16] 	 epoch : 152/300 	 Epoch loss:758.455145 	 Accuracy: 0.4674
[2023/04/03 22:13:01] 	 epoch : 153/300 	 Epoch loss:756.723972 	 Accuracy: 0.4671
[2023/04/03 22:16:46] 	 epoch : 154/300 	 Epoch loss:754.439373 	 Accuracy: 0.4685
[2023/04/03 22:20:31] 	 epoch : 155/300 	 Epoch loss:754.353002 	 Accuracy: 0.4681
[2023/04/03 22:24:17] 	 epoch : 156/300 	 Epoch loss:751.483206 	 Accuracy: 0.4729
[2023/04/03 22:28:02] 	 epoch : 157/300 	 Epoch loss:749.695014 	 Accuracy: 0.4716
[2023/04/03 22:31:48] 	 epoch : 158/300 	 Epoch loss:745.770317 	 Accuracy: 0.4742
[2023/04/03 22:35:33] 	 epoch : 159/300 	 Epoch loss:744.475585 	 Accuracy: 0.4749
[2023/04/03 22:39:19] 	 epoch : 160/300 	 Epoch loss:743.760387 	 Accuracy: 0.4765
[2023/04/03 22:40:01] 	 ##### Accuracy on validation set: 0.6232 #####
[2023/04/03 22:40:01] 	 ##### Best accuracy so far: 0.6105  =>  saving model... #####
[2023/04/03 22:43:38] 	 epoch : 161/300 	 Epoch loss:740.756380 	 Accuracy: 0.4793
[2023/04/03 22:47:24] 	 epoch : 162/300 	 Epoch loss:740.192099 	 Accuracy: 0.4767
[2023/04/03 22:51:09] 	 epoch : 163/300 	 Epoch loss:736.727815 	 Accuracy: 0.4800
[2023/04/03 22:54:54] 	 epoch : 164/300 	 Epoch loss:734.218967 	 Accuracy: 0.4816
[2023/04/03 22:58:39] 	 epoch : 165/300 	 Epoch loss:732.584750 	 Accuracy: 0.4843
[2023/04/03 23:02:25] 	 epoch : 166/300 	 Epoch loss:730.040863 	 Accuracy: 0.4825
[2023/04/03 23:06:10] 	 epoch : 167/300 	 Epoch loss:728.672786 	 Accuracy: 0.4856
[2023/04/03 23:09:56] 	 epoch : 168/300 	 Epoch loss:726.418432 	 Accuracy: 0.4870
[2023/04/03 23:13:41] 	 epoch : 169/300 	 Epoch loss:725.108209 	 Accuracy: 0.4871
[2023/04/03 23:17:27] 	 epoch : 170/300 	 Epoch loss:722.367503 	 Accuracy: 0.4899
[2023/04/03 23:18:10] 	 ##### Accuracy on validation set: 0.6216 #####
[2023/04/03 23:18:10] 	 ##### Best accuracy so far: 0.6232 #####
[2023/04/03 23:21:47] 	 epoch : 171/300 	 Epoch loss:719.842045 	 Accuracy: 0.4916
[2023/04/03 23:25:32] 	 epoch : 172/300 	 Epoch loss:718.117462 	 Accuracy: 0.4923
[2023/04/03 23:29:17] 	 epoch : 173/300 	 Epoch loss:719.473417 	 Accuracy: 0.4918
[2023/04/03 23:33:02] 	 epoch : 174/300 	 Epoch loss:715.621576 	 Accuracy: 0.4925
[2023/04/03 23:36:48] 	 epoch : 175/300 	 Epoch loss:714.033785 	 Accuracy: 0.4954
[2023/04/03 23:40:33] 	 epoch : 176/300 	 Epoch loss:710.770833 	 Accuracy: 0.4968
[2023/04/03 23:44:18] 	 epoch : 177/300 	 Epoch loss:706.882183 	 Accuracy: 0.4987
[2023/04/03 23:48:03] 	 epoch : 178/300 	 Epoch loss:707.843432 	 Accuracy: 0.4967
